 21 2001.517434 6.522E-29 1.443E-04.08780.118 2011.09340.77-.001534       2 2 2 02       0 3 3 01                    P  4f     4377741827 5 4 5 7     7.0    9.0
 21 2001.680993 1.739E-28 2.482E-05.06790.082 1945.79580.75-.002294       2 1 1 02       0 2 2 01                    Q 39f     5377641827 5 4 5 7    79.0   79.0
 21 2001.708530 1.878E-30 2.664E-04.06500.068 3460.03370.69-.002543       3 0 0 03       1 1 1 02                    Q 62f     3377741927 5 4 5 7   125.0  125.0
 21 2001.751868 1.196E-26 3.756E-05.06840.086 1132.78030.76-.002278       2 0 0 02       0 1 1 01                    Q 34f     5377641827 5 4 5 7    69.0   69.0
 21 2001.864757 5.089E-30 1.192E-02.07100.097 3826.69460.72-.002188       2 1 1 12       1 0 0 12                    P 23e     4377641827 5 4 5 7    45.0   47.0
 21 2001.870883 8.336E-28 9.886E-05.08840.119 1339.83150.78-.001426       2 1 1 02       0 2 2 01                    P  3f     4377741827 5 4 5 7     5.0    7.0
 21 2001.913207 1.099E-30 1.566E-04.06740.076 3395.68920.74-.002327       3 1 1 03       1 2 2 02                    Q 45f     4377641827 5 4 5 7    91.0   91.0
 21 2001.920222 3.405E-30 1.942E-04.08780.118 2679.57570.77-.001534       2 3 3 02       0 4 4 01                    P  4e     3377741927 5 4 5 7     7.0    9.0
 21 2001.931472 2.404E-28 2.697E-05.06810.083 1885.54220.76-.002289       2 1 1 02       0 2 2 01                    Q 37f     5377641827 5 4 5 7    75.0   75.0
 21 2001.977705 1.589E-26 4.108E-05.06860.088 1080.39310.76-.002268       2 0 0 02       0 1 1 01                    Q 32f     5377641827 5 4 5 7    65.0   65.0
 21 2002.050256 9.582E-29 8.289E-02.05710.062 3927.61940.65-.003249       1 1 1 01       0 0 0 01                    P100e     3377541827 5 4 5 7   199.0  201.0
 21 2002.077734 1.096E-30 2.136E-05.06420.067 3064.36280.67-.002620       2 1 1 02       0 2 2 01                    Q 66e     4377741827 5 4 5 7   133.0  133.0
 21 2002.145979 9.659E-29 2.330E-03.06410.067 3111.36840.67-.002665       2 1 1 02       1 0 0 01                    R 66e     4377741827 5 4 5 7   135.0  133.0
 21 2002.161526 1.570E-29 4.658E-04.08710.116 2596.78050.76-.001608       3 1 1 03       1 2 2 02                    P  5f     3377741827 5 4 5 7     9.0   11.0
 21 2002.168077 1.042E-30 2.362E-05.06680.073 3042.84590.72-.002381       2 2 2 02       0 3 3 01                    Q 51e     4377741827 5 4 5 7   103.0  103.0
 21 2002.169446 3.241E-28 2.911E-05.06830.085 1828.41260.76-.002281       2 1 1 02       0 2 2 01                    Q 35f     5377641827 5 4 5 7    71.0   71.0
 21 2002.190505 2.053E-26 4.452E-05.06880.090 1031.12920.75-.002258       2 0 0 02       0 1 1 01                    Q 30f     5377641827 5 4 5 7    61.0   61.0
 21 2002.199002 1.865E-30 2.279E-05.06460.068 2962.06050.68-.002584       2 1 1 02       0 2 2 01                    Q 64e     4377741827 5 4 5 7   129.0  129.0
 21 2002.229081 1.280E-30 2.437E-05.06690.073 3002.89840.73-.002371       2 2 2 02       0 3 3 01                    Q 50f     4377741827 5 4 5 7   101.0  101.0
 21 2002.242518 3.180E-30 2.923E-04.06530.069 3363.96780.69-.002507       3 0 0 03       1 1 1 02                    Q 60f     3377741927 5 4 5 7   121.0  121.0
 21 2002.243275 1.917E-29 4.759E-03.07480.102 3301.10110.69-.002095       4 0 0 04       2 1 1 03                    P 17e     3377641827 5 4 5 7    33.0   35.0
 21 2002.272141 1.562E-30 1.660E-04.06760.078 3326.03100.75-.002316       3 1 1 03       1 2 2 02                    Q 43f     4377641827 5 4 5 7    87.0   87.0
 21 2002.308722 5.510E-29 1.682E-04.08840.119 2007.95430.78-.001426       2 2 2 02       0 3 3 01                    P  3e     4377741827 5 4 5 7     5.0    7.0
 21 2002.318410 3.111E-30 2.423E-05.06500.068 2862.86330.69-.002543       2 1 1 02       0 2 2 01                    Q 62e     4377741827 5 4 5 7   125.0  125.0
 21 2002.357865 1.583E-30 2.542E-05.06700.074 2963.73050.73-.002362       2 2 2 02       0 3 3 01                    Q 49e     4377741827 5 4 5 7    99.0   99.0
 21 2002.373779 1.142E-30 4.633E-03.06650.071 4132.66500.71-.009414       2 0 0 13       2 0 0 01                    P 58e     5377741827 5 4 5 7   115.0  117.0
 21 2002.381431 1.289E-30 4.310E-02.06770.079 4499.53080.75-.002299       4 1 1 04       3 0 0 04                    P 42e     4377641827 5 4 5 7    83.0   85.0
 21 2002.389977 2.580E-26 4.786E-05.06920.092  984.98900.74-.002243       2 0 0 02       0 1 1 01                    Q 28f     5377641827 5 4 5 7    57.0   57.0
 21 2002.394408 4.261E-28 3.119E-05.06850.087 1774.40800.76-.002274       2 1 1 02       0 2 2 01                    Q 33f     5377641827 5 4 5 7    67.0   67.0
 21 2002.421801 1.926E-30 2.619E-05.06710.074 2925.34400.73-.002355       2 2 2 02       0 3 3 01                    Q 48f     4377741827 5 4 5 7    97.0   97.0
 21 2002.434545 5.088E-30 2.566E-05.06530.069 2766.77290.69-.002507       2 1 1 02       0 2 2 01                    Q 60e     4377741827 5 4 5 7   121.0  121.0
 21 2002.540405 2.352E-30 2.720E-05.06720.075 2887.73730.74-.002344       2 2 2 02       0 3 3 01                    Q 47e     4377641827 5 4 5 7    95.0   95.0
 21 2002.547692 8.159E-30 2.709E-05.06570.070 2673.79130.70-.002478       2 1 1 02       0 2 2 01                    Q 58e     4377741827 5 4 5 7   117.0  117.0
 21 2002.575732 3.156E-26 5.109E-05.06970.094  941.97360.74-.002219       2 0 0 02       0 1 1 01                    Q 26f     5377541827 5 4 5 7    53.0   53.0
 21 2002.606140 2.834E-30 2.800E-05.06730.076 2850.91260.74-.002334       2 2 2 02       0 3 3 01                    Q 46f     4377641827 5 4 5 7    93.0   93.0
 21 2002.606396 5.463E-28 3.322E-05.06870.089 1723.52920.75-.002261       2 1 1 02       0 2 2 01                    Q 31f     5377641827 5 4 5 7    63.0   63.0
 21 2002.616447 2.174E-30 1.754E-04.06780.080 3259.49460.75-.002303       3 1 1 03       1 2 2 02                    Q 41f     4377641827 5 4 5 7    83.0   83.0
 21 2002.639358 4.855E-27 4.616E-02.06470.068 2907.11130.68-.002534       2 1 1 02       1 0 0 02                    P 64e     5377741827 5 4 5 7   127.0  129.0
 21 2002.654196 6.745E-28 1.319E-04.08920.120 1337.48140.78-.001354       2 1 1 02       0 2 2 01                    P  2e     5377741827 5 4 5 7     3.0    5.0
 21 2002.659517 1.283E-29 2.850E-05.06600.070 2583.91970.71-.002450       2 1 1 02       0 2 2 01                    Q 56e     4377741827 5 4 5 7   113.0  113.0
 21 2002.693275 4.015E-29 4.298E-05.07260.100 2225.19340.70-.002097       3 0 0 02       1 1 1 01                    R 19e     4377641827 5 4 5 7    41.0   39.0
 21 2002.696707 2.284E-28 2.653E-02.06680.073 3374.90650.72-.002357       1 1 1 11       0 0 0 11                    P 51e     4377741827 5 4 5 7   101.0  103.0
 21 2002.715692 3.419E-30 2.898E-05.06740.076 2814.86790.74-.002327       2 2 2 02       0 3 3 01                    Q 45e     4377641827 5 4 5 7    91.0   91.0
 21 2002.744535 1.963E-28 3.798E-02.06710.075 3467.26000.73-.002341       3 1 1 03       2 0 0 03                    P 48e     4377641827 5 4 5 7    95.0   97.0
 21 2002.748476 3.756E-26 5.418E-05.07040.096  902.08370.73-.002188       2 0 0 02       0 1 1 01                    Q 24f     5377641827 5 4 5 7    49.0   49.0
 21 2002.762067 5.261E-30 3.184E-04.06570.070 3271.00810.70-.002478       3 0 0 03       1 1 1 02                    Q 58f     3377741827 5 4 5 7   117.0  117.0
 21 2002.767178 1.979E-29 2.989E-05.06630.071 2497.15990.71-.002422       2 1 1 02       0 2 2 01                    Q 54e     4377741827 5 4 5 7   109.0  109.0
 21 2002.782362 4.079E-30 2.978E-05.06750.077 2779.60550.75-.002323       2 2 2 02       0 3 3 01                    Q 44f     4377641827 5 4 5 7    89.0   89.0
 21 2002.789962 2.567E-30 2.032E-06.06660.072 2360.38840.72-.002417       1 3 3 02       1 0 0 02                    R 52e     4377741827 5 4 5 7   107.0  105.0
 21 2002.805404 6.833E-28 3.519E-05.06900.091 1675.77720.75-.002250       2 1 1 02       0 2 2 01                    Q 29f     5377641827 5 4 5 7    59.0   59.0
 21 2002.870929 2.994E-29 3.126E-05.06660.072 2413.51370.72-.002393       2 1 1 02       0 2 2 01                    Q 52e     4377741827 5 4 5 7   105.0  105.0
 21 2002.884002 4.863E-30 3.072E-05.06760.078 2745.12380.75-.002316       2 2 2 02       0 3 3 01                    Q 43e     4377641827 5 4 5 7    87.0   87.0
 21 2002.907313 4.347E-26 5.712E-05.07120.098  865.31990.72-.002156       2 0 0 02       0 1 1 01                    Q 22f     5377641827 5 4 5 7    45.0   45.0
 21 2002.932708 1.290E-29 4.832E-04.08780.118 2592.86130.77-.001534       3 1 1 03       1 2 2 02                    P  4e     3377741827 5 4 5 7     7.0    9.0
 21 2002.944229 2.961E-30 1.844E-04.06790.082 3196.08130.75-.002294       3 1 1 03       1 2 2 02                    Q 39f     4377641827 5 4 5 7    79.0   79.0
 21 2002.950034 5.743E-30 3.152E-05.06770.079 2711.42410.75-.002308       2 2 2 02       0 3 3 01                    Q 42f     4377641827 5 4 5 7    85.0   85.0
 21 2002.955717 1.397E-27 1.032E-03.08320.111 1967.63600.71-.001734       3 0 0 03       1 1 1 02                    P  9e     4377841827 5 4 5 7    17.0   19.0
 21 2002.971139 4.442E-29 3.261E-05.06690.073 2332.98220.73-.002371       2 1 1 02       0 2 2 01                    Q 50e     4377741827 5 4 5 7   101.0  101.0
 21 2002.981214 7.282E-27 1.651E-04.09270.125  668.16120.78-.001284       2 0 0 02       0 1 1 01                    P  1e     4377741827 5 4 5 7     1.0    3.0
 21 2002.991655 8.334E-28 3.707E-05.06940.093 1631.15270.74-.002235       2 1 1 02       0 2 2 01                    Q 27f     5377641827 5 4 5 7    55.0   55.0
 21 2003.044501 6.770E-30 3.243E-05.06780.080 2678.50560.75-.002303       2 2 2 02       0 3 3 01                    Q 41e     4377641827 5 4 5 7    83.0   83.0
 21 2003.052685 4.887E-26 5.986E-05.07230.099  831.68290.71-.002127       2 0 0 02       0 1 1 01                    Q 20f     5377641827 5 4 5 7    41.0   41.0
 21 2003.066843 6.465E-29 3.392E-05.06710.074 2255.56670.73-.002355       2 1 1 02       0 2 2 01                    Q 48e     4377741827 5 4 5 7    97.0   97.0
 21 2003.109853 7.912E-30 3.322E-05.06790.081 2646.36960.75-.002298       2 2 2 02       0 3 3 01                    Q 40f     4377641827 5 4 5 7    81.0   81.0
 21 2003.142309 9.092E-28 6.432E-03.05980.064 2912.15720.64-.003141       1 1 1 02       0 0 0 01                    R 86e     4377541827 5 4 5 7   175.0  173.0
