151   38.122842 6.332E-37 9.941E-03.07610.238 8365.84450.760.002369              3              3                    R  1      475453 9 4 2 1 2 4    40.0   24.0
151   39.321894 2.888E-31 1.041E-02.07610.238 5687.65010.760.002366              2              2                    R  1      475453 9 4 2 1 2 4    40.0   24.0
151   39.847620 1.641E-89 7.297E-03.05990.24133323.91840.710.002769             16             16                    R  3      255454 9 4 2 1 2 3    72.0   56.0
151   40.240451 1.089E-77 1.284E-02.06890.24727785.98370.720.001606             12             12                    R  2      255453 9 4 2 1 2 4    56.0   40.0
151   40.528052 2.164E-25 1.084E-02.07610.238 2906.24670.760.002363              1              1                    R  1      485453 9 4 2 1 2 4    40.0   24.0
151   41.743334 2.228E-20 4.673E-03.07610.238   20.87880.760.002361              0              0            1.5     R  1   0.568545310 4 2 1 2 4     8.0    4.0
151   41.743380 2.406E-20 3.366E-03.07610.238   20.87840.760.002361              0              0            2.5     R  1   2.568545310 4 2 1 2 4    12.0   12.0
151   41.743778 2.674E-21 5.609E-04.07610.238   20.87840.760.002361              0              0            1.5     R  1   2.568545310 4 2 1 2 4     8.0   12.0
151   41.743895 2.228E-20 9.351E-03.07610.238   20.87880.760.002361              0              0            0.5     R  1   0.568545310 4 2 1 2 4     4.0    4.0
151   41.743948 5.615E-20 7.854E-03.07610.238   20.87780.760.002361              0              0            2.5     R  1   1.568545310 4 2 1 2 4    12.0    8.0
151   41.743950 1.070E-19 1.122E-02.07610.238   20.87840.760.002361              0              0            3.5     R  1   2.568545310 4 2 1 2 4    16.0   12.0
151   41.744346 2.852E-20 5.983E-03.07610.238   20.87780.760.002361              0              0            1.5     R  1   1.568545310 4 2 1 2 4     8.0    8.0
151   41.744907 4.457E-21 1.870E-03.07610.238   20.87780.760.002361              0              0            0.5     R  1   1.568545310 4 2 1 2 4     4.0    8.0
151   42.333219 5.236E-74 1.579E-02.06890.24726073.03750.720.001602             11             11                    R  2      255453 9 4 2 1 2 4    56.0   40.0
151   43.689698 1.319E-91 7.032E-03.05160.21834329.06340.58-.001420             17             17                    R  4      255453 9 4 2 1 2 4    88.0   72.0
151   43.867392 6.562E-87 1.214E-02.05990.24132174.25380.710.002769             15             15                    R  3      255454 9 4 2 1 2 3    72.0   56.0
151   44.328236 4.338E-70 1.877E-02.06890.24724242.02980.720.001597             10             10                    R  2      255453 9 4 2 1 2 4    56.0   40.0
151   46.252308 6.082E-66 2.171E-02.06890.24722297.87390.720.001593              9              9                    R  2      255453 9 4 2 1 2 4    56.0   40.0
151   47.411331 5.150E-84 1.792E-02.05990.24130865.48180.710.002769             14             14                    R  3      255454 9 4 2 1 2 3    72.0   56.0
151   48.124558 1.423E-61 2.453E-02.06890.24720244.21730.720.001589              8              8                    R  2      255453 9 4 2 1 2 4    56.0   40.0
151   49.660589 2.548E-89 1.435E-02.05160.21833363.76600.58-.001434             16             16                    R  4      255453 9 4 2 1 2 4    88.0   72.0
151   49.959676 5.501E-57 2.719E-02.06890.24718083.84570.720.001585              7              7                    R  2      275453 9 4 2 1 2 4    56.0   40.0
151   50.621998 7.620E-81 2.442E-02.05990.24129412.41810.710.002769             13             13                    R  3      255454 9 4 2 1 2 3    72.0   56.0
151   51.771805 3.490E-52 2.967E-02.06890.24715818.66780.720.001581              6              6                    R  2      375453 9 4 2 1 2 4    56.0   40.0
151   52.153547 1.765E-91 1.199E-02.04130.18734372.75310.35-.004001             17             17                    R  5      255453 9 4 2 1 2 4   104.0   88.0
151   53.569783 3.621E-47 3.195E-02.06890.24713449.87720.720.001577              5              5                    R  2      375453 9 4 2 1 2 4    56.0   40.0
151   53.591528 2.051E-77 3.142E-02.05990.24127826.22420.710.002769             12             12                    R  3      255454 9 4 2 1 2 3    72.0   56.0
151   54.706069 1.001E-86 2.397E-02.05160.21832218.12120.58-.001445             15             15                    R  4      255453 9 4 2 1 2 4    88.0   72.0
151   55.361442 6.134E-42 3.402E-02.06890.24710978.22460.720.001573              4              4                    R  2      375453 9 4 2 1 2 4    56.0   40.0
151   56.384398 9.751E-74 3.868E-02.05990.24126115.37070.710.002769             11             11                    R  3      255454 9 4 2 1 2 3    72.0   56.0
151   57.153668 1.697E-36 3.591E-02.06890.247 8403.96730.720.001569              3              3                    R  2      475453 9 4 2 1 2 4    56.0   40.0
151   58.951935 7.688E-31 3.761E-02.06890.247 5726.97200.720.001565              2              2                    R  2      475453 9 4 2 1 2 4    56.0   40.0
151   59.046110 7.993E-70 4.600E-02.05990.24124286.35810.710.002769             10             10                    R  3      255454 9 4 2 1 2 3    72.0   56.0
