131    0.055617 5.496E-25 7.636E-11.09500.000    0.00180.660.000000       X3/2   0       X3/2   0            2.0 QQ  1.5fe  2.0603010 4 4 2 0 1 0     5.0    5.0
131    0.055770 3.179E-61 2.164E-12.04000.00016717.75560.660.000000       X1/2   5       X1/2   5                QQ  4.5fe     242010 5 2 2 0 1 0    20.0   20.0
131    0.057391 6.502E-26 9.322E-12.09500.000    0.00000.660.000000       X3/2   0       X3/2   0            2.0 QQ  1.5fe  1.0603010 4 4 2 0 1 0     5.0    3.0
131    0.059810 2.535E-72 2.826E-12.04000.00022015.73820.660.000000       X1/2   7       X1/2   7                QQ  4.5fe     232010 5 2 2 0 1 0    20.0   20.0
131    0.060150 6.726E-67 2.893E-12.04000.00019450.02910.660.000000       X1/2   6       X1/2   6                QQ  4.5fe     232010 5 2 2 0 1 0    20.0   20.0
131    0.077930 4.019E-80 8.130E-11.08600.00026242.14780.660.000000       X3/2   9       X3/2   9                QQ  2.5fe     232010 5 2 2 0 1 0    12.0   12.0
131    0.088930 9.625E-76 1.821E-10.09500.00024080.35240.660.000000       X1/2   8       X1/2   8                QQ  0.5fe     232010 5 2 2 0 1 0     4.0    4.0
131    0.091690 3.122E-75 1.439E-10.08600.00024009.51850.660.000000       X3/2   8       X3/2   8                QQ  2.5fe     232010 5 2 2 0 1 0    12.0   12.0
131    0.093430 1.975E-77 6.703E-12.04000.00024559.03640.660.000000       X1/2   8       X1/2   8                QQ  5.5ef     232010 5 2 2 0 1 0    24.0   24.0
131    0.100660 1.622E-70 2.786E-10.09500.00021666.39100.660.000000       X1/2   7       X1/2   7                QQ  0.5fe     232010 5 2 2 0 1 0     4.0    4.0
131    0.102820 2.713E-72 9.329E-12.04000.00022173.45560.660.000000       X1/2   7       X1/2   7                QQ  5.5ef     232010 5 2 2 0 1 0    24.0   24.0
131    0.104990 5.239E-70 2.255E-10.08600.00021599.07290.660.000000       X3/2   7       X3/2   7                QQ  2.5fe     232010 5 2 2 0 1 0    12.0   12.0
131    0.110890 5.795E-65 3.833E-10.09500.00019081.59520.660.000000       X1/2   6       X1/2   6                QQ  0.5fe     232010 5 2 2 0 1 0     4.0    4.0
