3.3 231.326260035
3.4 136.513219865
3.5 76.1576965924
3.6 39.0664841412
3.7 17.3384957512
3.8 5.70634036559
3.9 0.877898517784
4.0 0.0
4.1 1.53632243107
4.2 4.60896724331
4.3 8.55951057334
4.4 12.5100539034
4.5 16.4605972334
4.6 20.4111406133
4.7 23.9227346845
4.8 26.9953794967
4.9 29.8485497044
5.0 32.2627706034
5.1 34.6769915523
5.2 36.4327885878
5.3 38.1885856234
5.4 39.7249080545
5.5 41.2612304356
5.6 42.3586036078
5.7 43.4559767301
5.8 44.3338752479
5.9 45.2117737657
6.0 46.0896722834
6.1 46.7480961967
6.2 47.4065200601
6.3 47.845469319
6.4 48.2844186278
6.5 48.7233678867
6.6 49.1623171456
6.7 49.6012664045
6.8 49.820741009
6.9 50.0402156634
7.0 50.2596902679
7.1 50.4791649223
7.2 50.6986395268
7.3 50.9181141812
7.4 51.1375887856
7.5 51.35706344
