  =============================
          12   32603.135
          13   32746.123
          14   32777.799
          15   32811.664
          16   32848.318
          17   32887.426
          18   32927.263
          19   32962.491
          20   32995.625
  =============================
           J =  14.5
           v   energy
           0    5845.270
           1    9211.644
           2   12400.683
           3   15410.219
           4   18236.346
           5   20873.260
           6   23312.935
           7   25544.450
           8   27552.835
           9   29317.151
          10   30807.292
          11   31978.622
          12   32762.027
          13   32753.750
          14   32787.596
          15   32823.472
          16   32862.152
          17   32903.591
          18   32947.175
          19   32991.428
  =============================
           J =  15.5
           v   energy
           0    6384.988
           1    9729.060
           2   12895.737
           3   15882.649
           4   18685.658
           5   21298.682
           6   23713.335
           7   25918.193
           8   27897.535
           9   29629.214
          10   31081.032
          11   32204.282
          12   32761.777
          13   32797.818
          14   32835.711
          15   32876.380
          16   32918.647
          17   32919.969
          18   32966.142
  =============================
           J =  16.5
           v   energy
           0    6955.766
           1   10276.147
           2   13419.047
           3   16381.879
           4   19160.250
           5   21747.773
           6   24135.660
           7   26311.924
           8   28259.984
           9   29956.293
          10   31366.154
          11   32435.714
          12   32770.204
          13   32808.461
          14   32848.384
          15   32891.029
          16   32936.609
          17   32984.955
  =============================
           J =  17.5
           v   energy
           0    7556.928
           1   10852.232
           2   13969.944
           3   16907.236
           4   19659.440
           5   22219.831
           6   24579.174
           7   26724.848
           8   28639.288
           9   30297.310
          10   31661.204
          11   32670.405
          12   32779.028
          13   32819.526
          14   32861.490
          15   32906.108
          16   32953.678
  =============================
           J =  18.5
           v   energy
           0    8187.761
           1   11456.611
           2   14547.725
           3   17458.014
           4   20182.508
           5   22714.112
           6   25043.094
           7   27156.112
           8   29034.474
           9   30651.071
          10   31964.497
          11   32788.249
          12   32831.010
          13   32875.030
          14   32905.030
          15   32921.624
          16   32971.160
  =============================
           J =  19.5
           v   energy
           0    8847.522
           1   12088.547
           2   15151.653
           3   18033.471
           4   20728.698
           5   23229.831
           6   25526.585
           7   27604.802
           8   29444.485
           9   31016.239
          10   32274.042
          11   32797.865
          12   32842.911
          13   32889.001
          14   32937.577
          15   32989.069
  =============================
           J =  20.5
           v   energy
           0    9535.435
           1   12747.270
           2   15780.959
           3   18632.827
           4   21297.212
           5   23766.160
           6   26028.763
           7   28069.936
           8   29868.166
           9   31391.307
          10   32587.420
          11   32807.875
          12   32855.228
          13   32903.402
          14   32953.968
