  =============================
           v   energy
           0    1844.145
           1    5360.490
           2    8700.753
           3   11864.105
           4   14848.190
           5   17649.050
           6   20260.979
           7   22676.170
           8   24884.113
           9   26870.616
          10   28616.374
          11   30095.054
          12   31271.515
          13   32104.052
          14   32564.858
