13	0.03924	3.051e-11	ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=4;J=1.5;parity=-;kronigParity=e	ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=4;J=1.5;parity=+;kronigParity=f	4.449e-53	4	384
13	0.04316	4.052e-11	ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=3;J=1.5;parity=-;kronigParity=e	ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=3;J=1.5;parity=+;kronigParity=f	1.678e-46	4	384
13	0.045744	7.996e-12	ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=2;J=1.5;F#nuclearSpinRef:H1=2.0;parity=-;kronigParity=e	ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=2;J=1.5;F#nuclearSpinRef:H1=1.0;parity=+;kronigParity=f	8.066e-41	0	17
13	0.047128	4.372e-11	ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=2;J=1.5;F#nuclearSpinRef:H1=1.0;parity=-;kronigParity=e	ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=2;J=1.5;F#nuclearSpinRef:H1=1.0;parity=+;kronigParity=f	4.281e-40	0	17
13	0.04718	4.737e-11	ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=2;J=1.5;F#nuclearSpinRef:H1=2.0;parity=-;kronigParity=e	ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=2;J=1.5;F#nuclearSpinRef:H1=2.0;parity=+;kronigParity=f	7.722e-40	0	17
13	0.04748	1.482e-12	ElecStateLabel=X;Lambda=1;Omega=0.5;S=0.5;v=4;J=4.5;parity=+;kronigParity=e	ElecStateLabel=X;Lambda=1;Omega=0.5;S=0.5;v=4;J=4.5;parity=-;kronigParity=f	3.321e-55	4	384
13	0.048563	5.741e-12	ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=2;J=1.5;F#nuclearSpinRef:H1=1.0;parity=-;kronigParity=e	ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=2;J=1.5;F#nuclearSpinRef:H1=2.0;parity=+;kronigParity=f	9.092e-41	0	17
13	0.049682	1.019e-11	ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=1;J=1.5;F#nuclearSpinRef:H1=2.0;parity=-;kronigParity=e	ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=1;J=1.5;F#nuclearSpinRef:H1=1.0;parity=+;kronigParity=f	1.444e-33	0	17
13	0.051267	5.6e-11	ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=1;J=1.5;F#nuclearSpinRef:H1=1.0;parity=-;kronigParity=e	ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=1;J=1.5;F#nuclearSpinRef:H1=1.0;parity=+;kronigParity=f	7.69e-33	0	17
13	0.051326	6.067e-11	ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=1;J=1.5;F#nuclearSpinRef:H1=2.0;parity=-;kronigParity=e	ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=1;J=1.5;F#nuclearSpinRef:H1=2.0;parity=+;kronigParity=f	1.387e-32	0	17
