                                                  
                                                                                                                                                                                                                                                                
       DIST           DE_HF    DE_MULTI       DE_CI         DIP
     4.51005025   -4.77D-01   -1.15D+00       -1.99   1.60444598D-04
     4.55778894   -4.09D-01   -9.64D-01       -1.73   1.53394720D-04
     4.60552764   -3.51D-01   -8.06D-01       -1.51   1.46669805D-04
     4.65326633   -3.00D-01   -6.72D-01       -1.32   1.40732670D-04
     4.70100503   -2.55D-01   -5.58D-01       -1.15   1.34628377D-04
     4.74874372   -2.17D-01   -4.62D-01       -1.01   1.28840850D-04
     4.79648241   -1.84D-01   -3.81D-01       -0.88   1.23360286D-04
     4.84422111   -1.56D-01   -3.13D-01       -0.78   1.18174722D-04
     4.89195980   -1.32D-01   -2.56D-01       -0.69   1.13270616D-04
     4.93969849   -1.11D-01   -2.09D-01       -0.61   1.08817020D-04
     4.98743719   -9.41D-02   -1.70D-01       -0.55   1.04431318D-04
     5.03517588   -7.95D-02   -1.38D-01       -0.49   1.00281433D-04
     5.08291457   -6.72D-02   -1.11D-01       -0.44   9.63530443D-05
     5.13065327   -5.69D-02   -8.97D-02       -0.40   9.26319991D-05
     5.17839196   -4.82D-02   -7.20D-02       -0.36   8.91049640D-05
     5.22613065   -4.10D-02   -5.76D-02       -0.33   8.57591424D-05
     5.27386935   -3.50D-02   -4.59D-02       -0.30   8.25823730D-05
     5.32160804   -2.99D-02   -3.65D-02       -0.28   7.95636083D-05
     5.36934673   -2.58D-02   -2.90D-02       -0.26   7.66922762D-05
     5.41708543   -2.23D-02   -2.29D-02       -0.24   7.39587470D-05
     5.46482412   -1.94D-02   -1.81D-02       -0.22   7.13538930D-05
     5.51256281   -1.69D-02   -1.43D-02       -0.21   6.88697219D-05
     5.56030151   -1.49D-02   -1.12D-02       -0.19   6.64984813D-05
     5.60804020   -1.32D-02   -8.80D-03       -0.18   6.42333662D-05
     5.65577889   -1.17D-02   -6.91D-03       -0.17   6.20678221D-05
     5.70351759   -1.05D-02   -5.42D-03       -0.16   5.99959833D-05
     5.75125628   -9.47D-03   -4.25D-03       -0.15   5.80121756D-05
     5.79899497   -8.58D-03   -3.34D-03       -0.14   5.61117657D-05
