Freq(cm-1)                 FCF               TRDIP
  3571.798       -0.353278E-15        0.333289E-01
  6981.779        0.148820E-15       -0.978584E-02
 10237.577       -0.446395E-16        0.186182E-02
 13343.253        0.794145E-16       -0.467894E-03
 16301.956        0.213548E-16        0.159718E-03
 19117.736       -0.287446E-16       -0.742887E-04
 21846.687       -0.121229E-16        0.450588E-04
